 ,Area,Mean,IntDen,RawIntDen
1,158.54,378.91,60070.84,743044.00
2,158.54,593.68,94120.10,1164215.00
3,133.55,471.10,62917.21,778252.00
4,133.55,602.78,80504.07,995792.00
5,93.70,297.92,27915.04,345294.00
6,93.70,558.42,52323.38,647212.00
7,109.06,218.81,23863.29,295176.00
8,109.06,354.80,38694.57,478631.00
9,136.47,353.90,48295.47,597389.00
10,136.47,500.14,68251.55,844235.00
11,144.39,267.36,38603.30,477502.00
12,144.39,313.88,45319.76,560581.00
13,184.32,332.97,61375.35,759180.00
14,184.32,408.28,75256.95,930888.00
15,98.06,808.10,79245.97,980230.00
16,98.06,1201.27,117801.08,1457136.00
17,158.86,631.32,100291.02,1240546.00
18,158.86,1095.27,173993.02,2152200.00
19,149.40,306.57,45801.51,566540.00
20,149.40,919.66,137396.76,1699524.00
21,146.65,489.86,71838.29,888601.00
22,146.65,510.60,74880.70,926234.00
23,174.95,256.98,44958.71,556115.00
24,174.95,188.96,33057.54,408904.00
25,143.09,383.39,54861.40,678606.00
26,143.09,787.77,112725.92,1394359.00
27,190.47,455.12,86686.47,1072265.00
28,190.47,705.27,134332.60,1661622.00
29,117.14,428.98,50252.23,621593.00
30,117.14,528.33,61890.65,765554.00
31,94.18,306.66,28882.10,357256.00
32,94.18,359.09,33820.55,418342.00
33,98.63,508.47,50150.04,620329.00
34,98.63,421.62,41584.67,514380.00
35,88.12,567.51,50009.45,618590.00
36,88.12,991.49,87370.66,1080728.00
37,117.06,657.34,76949.51,951824.00
38,117.06,1254.01,146797.25,1815803.00
39,155.30,516.65,80236.31,992480.00
40,155.30,501.34,77859.57,963081.00
41,116.17,1023.30,118880.60,1470489.00
42,116.17,1401.83,162855.51,2014435.00
43,160.23,378.96,60722.21,751101.00
44,160.23,758.05,121465.59,1502464.00
45,209.95,239.26,50234.04,621368.00
46,209.95,497.48,104447.07,1291954.00
47,132.10,325.29,42970.83,531526.00
48,132.10,494.56,65331.06,808110.00
49,171.63,377.71,64826.91,801874.00
50,171.63,600.40,103047.33,1274640.00
51,170.99,300.60,51397.63,635761.00
52,170.99,521.21,89119.16,1102356.00
53,183.76,463.81,85228.69,1054233.00
54,183.76,303.54,55778.66,689952.00
55,176.00,645.30,113571.15,1404814.00
56,176.00,1089.09,191677.86,2370952.00
57,163.71,528.08,86451.46,1069358.00
58,163.71,949.36,155420.02,1922462.00
59,137.60,202.67,27887.23,344950.00
60,137.60,468.99,64531.59,798221.00
61,125.55,588.27,73857.54,913578.00
62,125.55,835.36,104880.07,1297310.00
63,128.70,1356.95,174645.59,2160272.00
64,128.70,1021.17,131429.24,1625709.00
65,156.51,270.93,42404.19,524517.00
66,156.51,417.84,65397.51,808932.00
67,89.41,663.62,59336.37,733959.00
68,89.41,603.87,53994.26,667880.00
69,151.99,685.35,104164.35,1288457.00
70,151.99,1391.15,211437.49,2615368.00
71,142.77,221.82,31670.09,391742.00
72,142.77,315.16,44995.09,556565.00
73,71.39,44.69,3190.11,39460.00
74,71.39,49.57,3538.39,43768.00
